"(p,d,q)","(P,D,Q,m)",AIC
"(2, 0, 3)","(0, 0, 0, 0)",33114.2
"(5, 0, 1)","(0, 0, 0, 0)",33114.7
"(2, 0, 4)","(0, 0, 0, 0)",33115.7
"(6, 0, 1)","(0, 0, 0, 0)",33117.9
"(3, 0, 4)","(0, 0, 0, 0)",33118.4
"(6, 0, 2)","(0, 0, 0, 0)",33118.8
"(4, 0, 5)","(0, 0, 0, 0)",33119.1
"(4, 0, 4)","(0, 0, 0, 0)",33119.8
"(4, 0, 1)","(0, 0, 0, 0)",33120.6
"(6, 0, 3)","(0, 0, 0, 0)",33120.7
"(3, 0, 5)","(0, 0, 0, 0)",33120.9
"(4, 0, 6)","(0, 0, 0, 0)",33121.5
"(3, 0, 2)","(0, 0, 0, 0)",33122.1
"(5, 0, 6)","(0, 0, 0, 0)",33122.2
"(3, 0, 6)","(0, 0, 0, 0)",33122.6
"(3, 0, 1)","(0, 0, 0, 0)",33123.2
"(6, 0, 6)","(0, 0, 0, 0)",33123.9
"(5, 0, 2)","(0, 0, 0, 0)",33125.1
"(4, 0, 2)","(0, 0, 0, 0)",33127.4
"(4, 0, 3)","(0, 0, 0, 0)",33128.7
"(1, 0, 6)","(0, 0, 0, 0)",33129.0
"(5, 0, 3)","(0, 0, 0, 0)",33129.3
"(6, 0, 5)","(0, 0, 0, 0)",33129.4
"(5, 0, 5)","(0, 0, 0, 0)",33130.8
"(6, 0, 4)","(0, 0, 0, 0)",33131.5
"(1, 0, 5)","(0, 0, 0, 0)",33148.2
"(3, 0, 3)","(0, 0, 0, 0)",33152.9
"(2, 0, 6)","(0, 0, 0, 0)",33158.3
"(1, 0, 4)","(0, 0, 0, 0)",33187.8
"(2, 0, 5)","(0, 0, 0, 0)",33195.3
"(5, 0, 4)","(0, 0, 0, 0)",33236.2
"(1, 0, 3)","(0, 0, 0, 0)",33334.4
"(6, 0, 0)","(0, 0, 0, 0)",33340.8
"(5, 0, 0)","(0, 0, 0, 0)",33348.2
"(2, 0, 2)","(0, 0, 0, 0)",33360.8
"(2, 0, 1)","(0, 0, 0, 0)",33362.1
"(1, 0, 1)","(0, 0, 0, 0)",33363.0
"(4, 0, 0)","(0, 0, 0, 0)",33363.4
"(1, 0, 2)","(0, 0, 0, 0)",33363.8
"(3, 0, 0)","(0, 0, 0, 0)",33365.1
"(2, 0, 0)","(0, 0, 0, 0)",33369.7
"(1, 0, 0)","(0, 0, 0, 0)",33662.3
"(0, 0, 6)","(0, 0, 0, 0)",33713.1
"(0, 0, 5)","(0, 0, 0, 0)",33787.3
"(0, 0, 4)","(0, 0, 0, 0)",33934.1
"(0, 0, 3)","(0, 0, 0, 0)",34143.5
"(0, 0, 2)","(0, 0, 0, 0)",34583.1
"(0, 0, 1)","(0, 0, 0, 0)",35423.3
"(0, 0, 0)","(0, 0, 0, 0)",37018.3
